product_name,brand,price,seller_location,product_link,category,scraped_at
"Ceramic Floor Tiles, Size: 12X18 Inch",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-22392749773.html,Tiles,2025-08-05T17:15:34.985433
"Matt Finish Brown Step & Riser Tiles, Thickness: 8 - 10 Mm,...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/step-riser-tiles-22463343691.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Bathroom Floor Tile, Size: 1X1 Feet(300X300 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/bathroom-floor-tile-2855068343733.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Step Risers Tiles, Matte",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/step-risers-tiles-2849535042033.html,Tiles,2025-08-05T17:15:34.985433
Tropicana Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/tropicana-floor-tiles-2851450560473.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Floor Tiles, Size: 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-2853952729488.html,Tiles,2025-08-05T17:15:34.985433
"High Glossy Vitrified 3D Floor Tiles, Size: 3X3 Feet(900X900 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/3d-floor-tiles-2851450723948.html,Tiles,2025-08-05T17:15:34.985433
Kajaria Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/kajaria-floor-tiles-2853952702073.html,Tiles,2025-08-05T17:15:34.985433
Tizo Tiles Llp,Unknown,N/A,Unknown,https://www.tizotile.com/,Tiles,2025-08-05T17:15:34.985433
1200X1200 Mm Carving Surface Tile,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/1200x1200-mm-carving-surface-tile-2853101958173.html,Tiles,2025-08-05T17:15:34.985433
Glossy Vitrified 600 X 600 Mm Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600-x-600-mm-floor-tiles-2853178839462.html,Tiles,2025-08-05T17:15:34.985433
Matte Stone 300X450 Mm Ruhi Matt Collection Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/300x450-mm-ruhi-matt-collection-tiles-2853114509773.html,Tiles,2025-08-05T17:15:34.985433
Matte Ceramic 800X1600 Mm Matt Collection Tile,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/800x1600-mm-matt-collection-tile-2853102556673.html,Tiles,2025-08-05T17:15:34.985433
Ceramic 2X4 Endless Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/2x4-endless-floor-tiles-2855383399762.html,Tiles,2025-08-05T17:15:34.985433
Vitrified 2X4 Sparkle Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/2x4-sparkle-floor-tiles-2855389613212.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified 600X1200 Floor Tiles Satin Design, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600x1200-floor-tiles-satin-design-2855389599462.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Aashi Floor Tiles Sparkle Design, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/aashi-floor-tiles-sparkle-design-2855389613130.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified 600X1200 Wood Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600x1200-wood-floor-tiles-2856321911288.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Revlon Ordinary Tile, Size: 1X1 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/revlon-ordinary-tile-2852889754648.html,Tiles,2025-08-05T17:15:34.985433
"Carving 4X2 Feet Floor Tile, Size: 600 X 1200",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/4x2-feet-floor-tile-2853179020048.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified 600X1200 Matt Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600x1200-matt-tiles-2856321886862.html,Tiles,2025-08-05T17:15:34.985433
Ceramic 300 X 450Mm Matte Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/300-x-450mm-matte-floor-tiles-2856417588497.html,Tiles,2025-08-05T17:15:34.985433
Porcelain 80 X 160 Cm Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/80-x-160-cm-floor-tiles-2856402669091.html,Tiles,2025-08-05T17:15:34.985433
Kanopus Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/kanopus-tiles-2856369211648.html,Tiles,2025-08-05T17:15:34.985433
Porcelain 32 X 64 Inch Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/32-x-64-inch-floor-tiles-2856402724291.html,Tiles,2025-08-05T17:15:34.985433
"8 X 4 Inch Flooring Tiles, Size: 4X8 Feet(1200X2400 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/8-x-4-inch-flooring-tiles-2854158644333.html,Tiles,2025-08-05T17:15:34.985433
"Majestic Marble Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/majestic-marble-tiles-2854159151262.html,Tiles,2025-08-05T17:15:34.985433
"Triangle Design Polished Verified Tiles, Size: 2 X 2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/triangle-design-polished-verified-tiles-23402053873.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified 600X1200 Wood Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600x1200-wood-floor-tiles-2855833326355.html,Tiles,2025-08-05T17:15:34.985433
"Polished Vitrified Digital Floor Tiles, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/digital-floor-tiles-2849771317855.html,Tiles,2025-08-05T17:15:34.985433
"Glossy Porcelain Living Room Floor Tiles, 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/living-room-floor-tiles-2849771358891.html,Tiles,2025-08-05T17:15:34.985433
"Material: Vitrified Living Room Ceramic Floor Tile, 2X4...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/living-room-ceramic-floor-tile-24007906933.html,Tiles,2025-08-05T17:15:34.985433
Matte Ceramic 2X2 Carvin Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/2x2-carvin-floor-tiles-2854898900033.html,Tiles,2025-08-05T17:15:34.985433
Ceramic 2X2 Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/2x2-floor-tiles-2854898931948.html,Tiles,2025-08-05T17:15:34.985433
"Matte Wooden Floor Tiles, For Flooring, Size/Dimension: 60 * 120 In Cm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/matte-wooden-floor-tiles-2855002615491.html,Tiles,2025-08-05T17:15:34.985433
"Matte Ceramic Bathroom Floor Tiles, Size: 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-bathroom-floor-tiles-2855023537612.html,Tiles,2025-08-05T17:15:34.985433
"Full Body Vitrified Living Room Floor Tiles, 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/full-body-vitrified-living-room-floor-tiles-2854891154812.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain Designer Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/designer-floor-tiles-2854903149530.html,Tiles,2025-08-05T17:15:34.985433
"Polished Ceramic Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-floor-tiles-2853056952188.html,Tiles,2025-08-05T17:15:34.985433
Commercial Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/commercial-floor-tiles-2852679175673.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain Polished Floor Tiles, Size: 600 X 1200",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/polished-floor-tiles-2852679175497.html,Tiles,2025-08-05T17:15:34.985433
Bedroom Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/bedroom-floor-tiles-2852679177333.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain Floor Tiles 1200 X 1800, 6X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-1200-x-1800-2853135652755.html,Tiles,2025-08-05T17:15:34.985433
Matt Finish Floor Tile,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/matt-finish-floor-tile-2853212716862.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Designer Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/designer-floor-tiles-2854036493773.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain Mosaic Floor Tiles, 1X1 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/mosaic-floor-tiles-2855680391491.html,Tiles,2025-08-05T17:15:34.985433
"Glossy Ceramic Floor Tiles, Size : 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-floor-tiles-23035032633.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Pgvt Floor Tiles, 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/vitrified-pgvt-floor-tiles-23035507897.html,Tiles,2025-08-05T17:15:34.985433
"Bathroom Floor Tile, 300 X 450 Mm, Thickness: 5-10 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/bathroom-floor-tile-23587114762.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Polished Tiles Vitrified Step And Riser Stair Tile, 300 X...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/vitrified-step-and-riser-stair-tile-22665522330.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified 600X600 Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600x600-floor-tiles-2856023254091.html,Tiles,2025-08-05T17:15:34.985433
"Glossy Ceramic Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-floor-tiles-2853097330512.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified 600X600 Floor Denora Tile, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600x600-floor-denora-tile-2856023254255.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Denora Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/denora-floor-tiles-2856022152133.html,Tiles,2025-08-05T17:15:34.985433
Vitrified 800X1600 Mm Book Match Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/800x1600-mm-book-match-floor-tiles-2855523483873.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Tropicana White Floor Tile, Size: 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/tropicana-white-floor-tile-2855191604812.html,Tiles,2025-08-05T17:15:34.985433
